,task_name,hrs
9,Meetings Research Review & Delivery,3.5
4,Brief on Industry Performance to SLT,2.5
5,CRC Talking Points,2.5
7,Infographs,2.5
0,5-10 Meetings Research Implications,2.0
6,Hourly Visitor Counts for Visitor Services,2.0
1,Ad Hoc Marketing Data Request,1.75
3,BWS Tool,1.0
8,Meeting,1.0
10,Quarterly Reporting SOP,1.0
11,Scorecard SOP,1.0
12,Update Allyson Scorecard Portion,0.75
2,Arrivalist+Adara+Future,0.5
13,Visit CA Economic Impact Report,0.5
