,task_name,hrs
1,BWS Tool,7.0
4,PR Media Download Automation,3.5
0,Ad Hoc Data Requests,2.5
2,MCCVB Goal & Metric Update,2.5
3,Marketing SV Dashboards,2.5
5,PR Media Tagging Automation,2.0
8,Tammy Ad Hoc Request Panel,2.0
6,Quarterly Reporting,1.0
7,Social Reporting Meeting,1.0
9,Update upcoming months in scorecard,1.0
